[il],[ilce],[mahalle/koy],[lat],[lon]
ADANA, ALADAĞ, AKÖREN MAH., 37.456199, 35.447072
ADANA, ALADAĞ, AKPINAR MAH., 37.524343, 35.402012
ADANA, ALADAĞ, BAŞPINAR MAH., 37.525910, 35.390649
ADANA, ALADAĞ, BOZTAHTA MAH., 37.368637, 35.460196
ADANA, ALADAĞ, BÜYÜKSOFULU MAH., 37.561531, 35.194439
ADANA, ALADAĞ, CERİTLER MAH., 37.470105, 35.388125
ADANA, ALADAĞ, DAİLER MAH., 37.451601, 35.491233
ADANA, ALADAĞ, DARILIK MAH., 37.592646, 35.460286
ADANA, ALADAĞ, DÖLEKLİ MAH., 37.597356, 35.299443
ADANA, ALADAĞ, EBRİŞİM MAH., 37.527870, 35.333013
ADANA, ALADAĞ, EĞNER MAH., 37.422985, 35.447862
ADANA, ALADAĞ, GERDİBİ MAH., 37.488919, 35.158740
ADANA, ALADAĞ, GİREĞİYENİKÖY MAH., 37.523227, 35.436957
ADANA, ALADAĞ, GÖKÇEKÖY MAH., 37.534109, 35.519305
ADANA, ALADAĞ, KABASAKAL MAH., 37.559007, 35.346263
ADANA, ALADAĞ, KARAHAN MAH., 37.597850, 35.519485
ADANA, ALADAĞ, KICAK MAH., 37.568060, 35.223805
ADANA, ALADAĞ, KIŞLAK MAH., 37.603667, 35.530930
ADANA, ALADAĞ, KIZILDAM MAH., 37.532020, 35.480570
ADANA, ALADAĞ, KÖKEZ MAH., 37.579714, 35.291699
ADANA, ALADAĞ, KÖPRÜCÜK MAH., 37.659657, 35.544126
ADANA, ALADAĞ, KÜP MAH., 37.682328, 35.492877
ADANA, ALADAĞ, MADENLİ MAH., 37.447784, 35.320841
ADANA, ALADAĞ, MANSURLU MAH., 37.551168, 35.392230
ADANA, ALADAĞ, MAZILIK MAH., 37.487587, 35.455857
ADANA, ALADAĞ, POSYAĞBASAN MAH., 37.493307, 35.244466
ADANA, ALADAĞ, SİNANPAŞA MAH., 37.546863, 35.395212
ADANA, ALADAĞ, TOPALLI MAH., 37.322743, 35.468973
ADANA, ALADAĞ, UZUNKUYU MAH., 37.490522, 35.470635
ADANA, ALADAĞ, YETİMLİ MAH., 37.609435, 35.326725
ADANA, ALADAĞ, YÜKSEKÖREN MAH., 37.396887, 35.397880
ADANA, CEYHAN, ADAPINAR MAH., 37.139780, 35.845529
ADANA, CEYHAN, ADATEPE MAH., 37.018609, 35.835683
ADANA, CEYHAN, AĞAÇLI MAH., 37.232567, 35.895143
ADANA, CEYHAN, AĞAÇPINAR MAH., 36.970541, 35.733796
ADANA, CEYHAN, AKDAM MAH., 37.236281, 35.861016
ADANA, CEYHAN, ALTIGÖZ MAH., 37.120777, 35.991568
ADANA, CEYHAN, ALTIKARA MAH., 37.002033, 35.713647
ADANA, CEYHAN, ALTIOCAK MAH., 37.046870, 35.814384
ADANA, CEYHAN, AYDEMİROĞLU MAH., 37.032856, 35.813171
ADANA, CEYHAN, AYDINLAR MAH., 36.977885, 35.911285
ADANA, CEYHAN, AZİZLİ MAH., 37.055100, 36.022578
ADANA, CEYHAN, BAŞÖREN MAH., 37.153062, 35.600280
ADANA, CEYHAN, BELEDİYE EVLERİ MAH., 37.045883, 35.808177
